step,n,reward,resolved,f2p_rate,format_errors,valid_actions,edits,tests_run,num_turns,resolved_sum
0,8,0.1667,0.1667,0.1667,0.5,7.875,1.25,1.0,8.375,1
1,96,0.0606,0.0606,0.0606,1.4062,7.5208,0.5521,0.8125,8.9479,4
2,32,0.0,0.0,0.0,0.0625,10.875,1.0938,1.625,10.9375,0
3,32,0.0625,0.0625,0.0625,0.0,10.4062,0.9375,1.875,10.4375,2
4,32,0.0645,0.0645,0.0645,0.0312,10.75,1.2812,1.75,10.8125,2
5,34,0.0441,0.0294,0.0441,0.0294,10.6471,0.6176,1.7353,10.6765,1
6,32,0.129,0.129,0.129,0.0,10.25,0.75,1.6562,10.2812,4
7,32,0.1719,0.1562,0.1719,0.0312,10.4062,0.875,1.3125,10.5938,5
8,32,0.1075,0.0968,0.1075,0.0625,10.4062,1.2188,1.9062,10.625,3
9,32,0.1333,0.1,0.1333,0.0,10.8438,1.125,1.7812,10.875,3
10,34,0.125,0.125,0.125,0.0,10.5588,0.9412,1.9118,10.6471,4
11,32,0.2473,0.2258,0.2473,0.0312,10.125,1.0,2.0312,10.3125,7
12,32,0.0625,0.0625,0.0625,0.0,10.3438,1.1875,1.9688,10.5,2
13,32,0.026,0.0,0.026,0.0,11.25,0.7812,1.75,11.2812,0
14,32,0.1452,0.129,0.1452,0.0,11.3438,0.9062,2.2812,11.375,4
15,34,0.1494,0.1379,0.1494,0.0,10.8235,1.3824,1.9118,10.8824,4
16,32,0.125,0.125,0.125,0.0312,9.8125,0.5938,1.4688,9.9062,4
17,32,0.15,0.1,0.15,0.0312,10.1562,0.75,1.7188,10.2812,3
18,32,0.0938,0.0938,0.0938,0.0312,10.25,0.7188,1.6875,10.3125,3
19,32,0.1786,0.1786,0.1786,0.0312,10.2812,1.0938,1.875,10.4375,5
20,34,0.1129,0.0968,0.1129,0.0,10.6176,0.8235,1.9412,10.6176,3
21,32,0.0625,0.0625,0.0625,0.0312,10.4688,0.5625,1.8125,10.5625,2
22,32,0.1613,0.1613,0.1613,0.0,10.4688,0.6875,1.5,10.5938,5
23,32,0.1333,0.1333,0.1333,0.1562,10.0938,1.0,1.75,10.3125,4
24,32,0.1833,0.1667,0.1833,0.0625,9.6562,0.8438,1.7188,9.875,5
25,34,0.1618,0.1471,0.1618,0.0,9.3529,0.8529,1.5294,9.4706,5
26,32,0.0312,0.0312,0.0312,0.0312,10.4375,0.9375,2.1875,10.4688,1
27,32,0.2812,0.2812,0.2812,0.0,10.1875,1.2812,1.6562,10.4062,9
28,32,0.2188,0.1875,0.2188,0.0,10.625,0.7812,1.9062,10.6562,6
29,32,0.0833,0.0667,0.0833,0.125,11.2812,0.7812,1.625,11.4062,2
30,34,0.0882,0.0882,0.0882,0.0588,10.3235,1.2353,2.3824,10.4118,3
31,32,0.2097,0.1935,0.2097,0.0312,9.9375,1.25,2.4375,10.125,6
32,32,0.1458,0.125,0.1458,0.3125,9.8438,0.6562,1.6875,10.2812,4
33,32,0.0333,0.0333,0.0333,0.0312,10.4688,0.4375,1.9375,10.5,1
34,32,0.1935,0.1935,0.1935,0.0,9.8438,1.3125,2.0625,9.9375,6
35,34,0.2273,0.2121,0.2273,0.0,10.5,0.8235,1.9412,10.6176,7
36,32,0.0591,0.0323,0.0591,0.0,10.3125,0.9375,2.0625,10.3125,1
37,32,0.1875,0.1875,0.1875,0.0312,10.3438,1.125,2.25,10.5625,6
38,32,0.0806,0.0645,0.0806,0.0312,9.4375,0.625,2.0312,9.5312,2
39,32,0.1032,0.0968,0.1032,0.0,11.4688,1.0,1.4688,11.4688,3
40,34,0.0909,0.0909,0.0909,0.0882,10.5,0.8824,2.0,10.6765,3
41,32,0.0,0.0,0.0,0.0938,10.3125,0.9062,2.0625,10.4688,0
42,32,0.1398,0.129,0.1398,0.0312,10.0938,0.625,1.9688,10.25,4
43,32,0.2011,0.1724,0.2011,0.0,10.625,1.2812,1.7812,10.7812,5
44,32,0.0,0.0,0.0,0.125,10.875,0.6562,1.875,11.0,0
45,34,0.1176,0.1176,0.1176,0.0294,9.9118,1.1765,1.6765,10.0588,4
46,32,0.1774,0.1613,0.1774,0.0312,10.2188,1.0938,1.7812,10.3125,5
47,32,0.0625,0.0625,0.0625,0.0,11.2812,1.625,1.9375,11.3125,2
48,20,0.1,0.1,0.1,0.0,10.75,1.45,1.85,10.85,2
