step,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/score/mean,critic/score/max,critic/advantages/mean,actor/entropy,actor/grad_norm,actor/kl_loss,training/num_turns/mean,response_length/mean,response_length/clip_ratio,timing_s/step,perf/throughput,val-aux/swe-bench-ags/reward/mean@1,val-core/swe-bench-ags/acc/mean@1
6,0.125,1.0,0.0,0.125,1.0,-0.06682980060577393,0.3666225075721741,0.0247802734375,0.00504804166212125,21.5625,4468.3125,0.1875,840.9489253299998,53.12986158162597,,
7,0.171875,1.0,0.0,0.171875,1.0,-0.03762015327811241,0.3972398340702057,0.0257568359375,0.005623475377433351,22.1875,3314.3125,0.15625,735.817716941001,46.54889276435612,,
8,0.1041666567325592,1.0,0.0,0.1041666567325592,1.0,-0.09290751814842224,0.37471282482147217,0.0220947265625,0.004922707998048281,22.25,5355.0625,0.125,803.994402702001,65.85928934585631,,
9,0.125,1.0,0.0,0.125,1.0,-0.09645064920186996,0.35882940888404846,0.0257568359375,0.005109133931910037,22.75,4714.75,0.03125,829.5655842369997,55.961820116608244,,
10,0.125,1.0,0.0,0.125,1.0,0.01506520714610815,0.3854237496852875,0.0177001953125,0.005318489938872517,22.125,4987.71875,0.34375,783.8930675810007,62.145912516270776,0.0,0.0
11,0.2395833134651184,1.0,0.0,0.2395833134651184,1.0,-0.04423932358622551,0.4154770076274872,0.0260009765625,0.005233847586168849,21.625,4867.1875,0.15625,781.3275752009995,62.77840633921255,,
12,0.0625,1.0,0.0,0.0625,1.0,0.03007223829627037,0.41579943895339966,0.0172119140625,0.005321093769453,22.0,5838.3125,0.15625,824.8073305720009,64.38170228576122,,
13,0.026041656732559204,0.5,0.0,0.026041656732559204,0.5,-0.020936021581292152,0.36040693521499634,0.0235595703125,0.004599039625645673,23.5625,4461.1875,0.09375,709.9305383209994,64.28023241249285,,
14,0.140625,1.0,0.0,0.140625,1.0,0.03772701695561409,0.4252409040927887,0.03271484375,0.005321615380125877,23.75,5375.09375,0.1875,760.5592971350015,65.9287844996253,,
15,0.1041666567325592,1.0,0.0,0.1041666567325592,1.0,0.028399547562003136,0.4124406576156616,0.0196533203125,0.005553752496780362,23.0,5062.6875,0.15625,773.9729459619994,63.026104794100945,0.5,0.5
16,0.125,1.0,0.0,0.125,1.0,-0.0017294540302827954,0.43650034070014954,0.0145263671875,0.004644900135645003,20.8125,4755.90625,0.21875,843.5830274439977,55.23137436888876,,
17,0.140625,1.0,0.0,0.140625,1.0,0.06550663709640503,0.3934348523616791,0.0294189453125,0.004920685327306273,21.5625,5363.34375,0.25,818.1013222369984,63.3439264690341,,
18,0.09375,1.0,0.0,0.09375,1.0,-0.010770420543849468,0.42175063490867615,0.02197265625,0.004846076052672288,21.625,4633.375,0.1875,809.1883567950026,55.6990218921528,,
