step,instance_id,reward,resolved,f2p_pass,f2p_fail,f2p_rate,num_turns,format_errors,valid_actions,edits,tests_run
0,conan-io__conan-14177,,,,,,0,0,0,0,0
0,conan-io__conan-14177,0.0,False,0,3,0.0,12,4,8,3,2
0,conan-io__conan-14177,0.0,False,0,3,0.0,12,0,12,2,2
0,conan-io__conan-14177,0.0,False,0,3,0.0,12,0,12,4,1
0,python__mypy-15131,,,,,,0,0,0,0,0
0,python__mypy-15131,0.0,False,0,2,0.0,12,0,12,0,1
0,python__mypy-15131,0.0,False,0,2,0.0,12,0,12,0,1
0,python__mypy-15131,1.0,True,2,0,1.0,7,0,7,1,1
1,conan-io__conan-10408,,,,,,10,10,0,0,0
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,11,1,0,0
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,0
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,6,6,1,2
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,4,4
1,conan-io__conan-10408,,,,,,9,0,9,1,3
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,3
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,0
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,1
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,1
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,1
1,conan-io__conan-10408,0.0,False,0,4,0.0,12,0,12,0,0
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,4,8,0,1
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,0,1
1,conan-io__conan-11560,,,,,,10,9,1,0,0
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,0,0
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,3,2
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,0,0
1,conan-io__conan-11560,,,,,,0,0,0,0,0
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,4,2
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,3,3
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,5,7,0,0
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,1,2
1,conan-io__conan-11560,0.0,False,0,4,0.0,12,0,12,3,3
1,conan-io__conan-14397,,,,,,3,3,0,0,0
1,conan-io__conan-14397,0.0,False,0,2,0.0,12,6,6,1,2
1,conan-io__conan-14397,0.0,False,0,2,0.0,12,6,6,1,0
1,conan-io__conan-14397,0.0,False,0,2,0.0,12,3,9,0,0
1,conan-io__conan-14397,1.0,True,2,0,1.0,12,0,12,5,1
1,conan-io__conan-14397,,,,,,2,0,2,0,0
1,conan-io__conan-14397,1.0,True,2,0,1.0,12,0,12,4,3
1,conan-io__conan-14397,0.0,False,0,2,0.0,12,0,12,2,1
1,conan-io__conan-14397,,,,,,12,0,12,4,1
1,conan-io__conan-14397,0.0,False,0,2,0.0,12,0,12,1,1
